i;minAvgProfit;avgProfit;giniRisk;m1_prod_P1;m1_prod_P2;m1_prod_P3;m1_prod_P4;m2_prod_P1;m2_prod_P2;m2_prod_P3;m2_prod_P4;m3_prod_P1;m3_prod_P2;m3_prod_P3;m3_prod_P4;m1_stock_P1;m1_stock_P2;m1_stock_P3;m1_stock_P4;m2_stock_P1;m2_stock_P2;m2_stock_P3;m2_stock_P4;m3_stock_P1;m3_stock_P2;m3_stock_P3;m3_stock_P4
1;-600;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
2;-67.59;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
3;464.82;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
4;997.23;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
5;1529.64;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
6;2062.05;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
7;2594.46;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
8;3126.87;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
9;3659.28;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
10;4191.69;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
11;4724.1;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
12;5256.51;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
13;5788.92;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
14;6321.33;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
15;6853.74;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
16;7386.15;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
17;7918.56;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
18;8450.97;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
19;8983.38;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
20;9515.79;11031.288047259;473.954253809;150;0;50;150;300;30;200;200;50;350;150;250;0;50;0;0;0;0;0;0;50;50;50;50
